year,auth,titl
2012,McGlynn,Recontextualizing the multi-touch surface
2012,McPherson,TouchKeys: Capacitive multi-touch sensing on a physical keyboard
2012,McPherson,Techniques and circuits for electromagnetic instrument actuation
2012,Melo,Gest-o: Performer gestures used to expand the sounds of the saxophone
2012,Menzies,An electronic bagpipe chanter for automatic recognition of highland piping ornamentation
2012,Migneco,A component-based approach for modeling plucked-guitar excitation signals
2012,Mitchell,Musical interaction with hand posture and orientation: A toolbox of gestural control mechanisms
2012,Murphy,Better drumming through calibration: Techniques for pre-performance robotic percussion optimization
2012,Nash,Liveness and flow in notation use
2012,Nesfield,Strategies for engagement in computer-mediated musical performance
2012,Nort,Mapping to musical actions in the filter system
2012,Nymoen,Comparing motion data from an iPod touch to a high-end optical infrared marker-based motion capture system
2012,O’Sullivan,Introducing crossmapper: Another tool for mapping musical control parameters
2012,Oliver,The ‘interactive music awareness program’ (imap) for cochlear implant users
2012,Ouzounian,Music for sleeping & waking minds
2012,Overholt,Musical interaction design with the cui32Stem: Wireless options and the grove system for prototyping new interfaces
2012,Pardo,Towards speeding audio eq interface building with transfer learning
2012,Park,Voicon: An interactive gestural microphone for vocal performance
2012,Parson,The planetarium as a musical instrument
2012,Patrı́cio,MuDI -multimedia digital instrument for composing and performing digital music for films in real-time
2012,Piñeyro,Electric slide organistrum
2012,Pugliese,Augmenting human-human interaction in mobile group improvisation
2012,Reboursière,Left and right-hand guitar playing techniques detection
2012,Jensenius,The music ball project: Concept, design, development, performance
2012,Roberts,Mobile controls on-the-fly: An abstraction for distributed nimes
2012,Rotondo,Many-person instruments for computer music performance
2012,Savary,DIRTI —dirty tangible interfaces
2012,Schiesser,SABRe: The augmented bass clarinet
2012,Schlei,TC-11: A programmable multi-touch synthesizer for the iPad
2012,Schlessinger,Concept tahoe: Microphone midi control
2012,Schwarz,The sound space as musical instrument: Playing corpus-based concatenative synthesis
2012,Shahar,SoundStrand: A tangible interface for composing music with limited degrees of freedom
2012,Shear,Further developments in the electromagnetically sustained rhodes piano
2012,Skogstad,Developing the dance jockey system for musical interaction with the xsens MVN suit
2012,Smith,Unsupervised play: Machine learning toolkit for max
2012,Smith,Unsupervised play: Machine learning toolkit for max
2012,Snyder,The jd-1: An implementation of a hybrid keyboard/sequencer controller for analog synthesizers
2012,Stead,Graphic score grammars for end-users
2012,Subramanian,LOLbot: Machine musicianship in laptop ensembles
2012,Surges,DIY hybrid analog/digital modular synthesis
2012,Tache,Exploring audio and tactile qualities of instrumentality with bowed string simulations
2012,Tanaka,A survey and thematic analysis approach as input to the design of mobile music guis
2012,Torresen,Development and evaluation of a zigflea-based wireless transceiver board for cui32
2012,Trail,Non-invasive sensing and gesture control for pitched percussion hyper-instruments using the kinect
2012,Trail,Direct and surrogate sensing for the gyil african xylophone
2012,Trappe,Making sound synthesis accessible for children
2012,Troyer,DrumTop: Playing with everyday objects
2012,Vamvakousis,Temporal control in the eyeharp gaze-controlled musical interface
2012,Vigliensoni,A quantitative comparison of position trackers for the development of a touch-less musical interface
2012,Wang,Investigation of gesture controlled articulatory vocal synthesizer using a bio-mechanical mapping layer
2012,Weitzner,MassMobile -an audience participation framework
2012,Wierenga,A new keyboard-based, sensor-augmented instrument for live performance
2012,Wyse,Palm-area sensitivity to vibrotactile stimuli above 1 <span class="nocase">kHz</span>
2012,Yang,Augmented piano performance using a depth camera
2012,Yuksel,An interface for emotional expression in audio-visuals
2012,Zamorano,Simpletones: A system of collaborative physical controllers for novices
2013,Allison,NEXUS: Collaborative performance for the masses, handling instrument interface distribution through the web
2013,Altavilla,Towards gestural sonic affordances
2013,Andersson,Designing empowering vocal and tangible interaction
2013,Astrinaki,MAGE 2.0: New features and its application in the development of a talking guitar
2013,Baldan,Sonic tennis: A rhythmic interaction game for mobile devices
2013,Batula,Using audio and haptic feedback to improve pitched percussive instrument performance in humanoids
2013,Ben-Asher,Toward an emotionally intelligent piano: Real-time emotion detection and performer feedback via kinesthetic sensing in piano performance
2013,Berdahl,Embedded networking and hardware-accelerated graphics with satellite ccrma
2013,Berthaut,Rouages: Revealing the mechanisms of digital musical instruments to the audience
2013,Bisig,Coral - a physical and haptic extension of a swarm simulation
2013,Bortz,Lantern field: Exploring participatory design of a communal, spatially responsive installation
2013,Bragg,Synchronous data flow modeling for dmis
2013,Burlet,Stompboxes: Kicking the habit
2013,Caramiaux,Machine learning of musical gestures
2013,Cerqueira,SoundCraft: Transducing starcraft 2
2013,Choi,WAAX: Web audio API eXtension
2013,Christopher,Kontrol: Hand gesture recognition for music and dance interaction
2013,Dezfouli,Notesaaz: A new controller and performance idiom
2013,Diakopoulos,Netpixl: Towards a new paradigm for networked application development
2013,Dobda,Applied and proposed installations with silent disco headphones for multi-elemental creative expression
2013,Donnarumma,Muscular interactions. Combining EMG and mmg sensing for musical practice
2013,El-Shimy,Reactive environment for network music performance
2013,Everett,Sonifying chemical evolution
2013,Everman,Toward dmi evaluation using crowd-sourced tagging techniques
2013,Fan,Air violin: A body-centric style musical instrument
2013,Fan,BioSync: An informed participatory interface for audience dynamics and audiovisual content co-creation using mobile ppg and EEG
2013,Fasciani,A self-organizing gesture map for a voice-controlled instrument interface
2013,Ferguson,A corpus-based method for controlling guitar feedback
2013,Feugère,Digitartic: Bi-manual gestural control of articulation in performative singing synthesis
2013,Fohl,A gesture control interface for a wave field synthesis system
2013,Freed,“Old” is the new “new”: A fingerboard case study in recrudescence as a nime development strategy
2013,Freed,Agile interface development using osc expressions and process migration
2013,Fried,Cross-modal sound mapping using deep learning
2013,Fuhrmann,Multi sensor tracking for live sound transformation
2013,Gelineck,Towards an interface for music mixing based on smart tangibles and multitouch
2013,Greenlee,Graphic waveshaping
2013,Grierson,NoiseBear: A malleable wireless controller designed in participation with disabled children
2013,Grosshauser,Finger position and pressure sensing techniques for string and keyboard instruments
2013,Hadjakos,Motion and synchronization analysis of musical ensembles with the kinect
2013,Hamano,Generating an integrated musical expression with a brain–computer interface
2013,Hamilton,Sonifying game-space choreographies with udkosc
2013,Han,A musical performance evaluation system for beginner musician based on real-time score following
2013,Han,Digiti sonus: Advanced interactive fingerprint sonification using visual feature analysis
2013,Hindle,SWARMED: Captive portals, mobile devices, and audience participation in multi-user music performance
2013,Hochenbaum,Toward the future practice room: Empowering musical pedagogy through hyperinstruments
2013,Hong,Laptap: Laptop computer as a musical instrument using audio feedback
2013,Honigman,The third room: A 3D virtual music framework
2013,Hoste,Expressive control of indirect augmented reality during live music performances
2013,Jackie,SoloTouch: A capacitive touch controller with lick-based note selector
2013,Jenkins,An easily removable, wireless optical sensing system (eross) for the trumpet
2013,Jensenius,Kinectofon: Performing with shapes in planes
2013,Jerônimo Barbosa,A drawing-based digital music instrument
2013,John,Updating the classifications of mobile music projects
2013,Johnson,MULTI-touch interfaces for phantom source positioning in live sound diffusion
2013,Johnston,Fluid simulation as full body audio-visual instrument
2013,Kaneko,A function-oriented interface for music education and musical expressions: “The sound wheel”
2013,Kapur,New interfaces for traditional korean music and dance
2013,jo,Cutting record - a record without (or with) prior acoustic information
2013,Kikukawa,Development of a learning environment for playing erhu by diagnosis and advice regarding finger position on strings
2013,Kim,Modelling gestures in music performance with statistical latent-state models
2013,KITA,Providing a feeling of other remote learners’ presence in an online learning environment via realtime sonification of moodle access log
2013,Klügel,Towards mapping timbre to emotional affect
2013,Kleinberger,PAMDI music box: Primarily analogico-mechanical, digitally iterated music box
2013,Lai,Audience experience in sound performance
2013,Lee,Live coding the mobile music instrument
2013,Lee,Echobo : Audience participation using the mobile music instrument
2013,Liu,Cloud bridge: A data-driven immersive audio-visual software interface
2013,Lo,Mobile dj: A tangible, mobile platform for active and collaborative music listening
2013,Lui,A compact spectrum-assisted human beatboxing reinforcement learning tool on smartphone
2013,Martin,Performing with a mobile computer system for vibraphone
2013,McGee,VOSIS: A multi-touch image sonification interface
2013,McKinney,An interactive 3D network music space
2013,McLean,Paralinguistic microphone
2013,McPherson,Portable measurement and mapping of continuous piano gesture
2013,Michon,The black box
2013,Mital,Mining unlabeled electronic music databases through 3D interactive visualization of latent component relationships
2013,Mudd,Feeling for sound: Mapping sonic data to haptic perceptions
2013,Murphy,Designing and building expressive robotic guitars
2013,Nakanishi,POWDER box: An interactive device with sensor based replaceable interface for musical session
2013,Nam,Musical poi (mPoi)
2013,Oda,Towards note-level prediction for networked music performance
2013,Oh,LOLOL: Laugh out loud on laptop
2013,Pardue,Near-field optical reflective sensing for bow tracking
2013,Pardue,Hand-controller for combined tactile control and motion tracking
2013,Park,Rainboard and musix: Building dynamic isomorphic interfaces
2013,Park,Sound spray - can-shaped sound effect device
2013,Park,Sound surfing network (ssn): Mobile phone-based sound spatialization with audience collaboration
2013,Park,Fortissimo: Force-feedback for mobile devices
2013,Perrotin,Adaptive mapping for improved pitch accuracy on touch user interfaces
2013,Place,AlphaSphere
2013,Resch,Note  for max - an extension for max/msp for media arts & music
2013,Roberts,Enabling multimodal mobile interfaces for musical performance
2013,Roberts,The web browser as synthesizer and interface
2013,Rosselet,Jam on: A new interface for web-based collective music performance
2013,Sanganeria,GrainProc: A real-time granular synthesis interface for live performance
2013,Sarwate,Variator: A creativity support tool for music composition
2013,Schacher,Hybrid musicianship - teaching gestural interaction with traditional and digital instruments
2013,Schacher,The quarterstaff, a gestural sensor instrument
2013,Scott,Personalized song interaction using a multi touch interface
2013,Skogstad,Filtering motion capture data for real-time applications
2013,Soria,Multidimensional sound spatialization by means of chaotic dynamical systems
2013,Tahiroğlu,PESI extended system: In space, on body, with 3 musicians
2013,Tang,Computer assisted melo-rhythmic generation of traditional chinese music from ink brush calligraphy
2013,Tarakajian,Mira: Liveness in iPad controllers for max/msp
2013,Taylor,Plum st: Live digital storytelling with remote browsers
2013,Thorogood,Impress: A machine learning approach to soundscape affect classification for a music performance environment
2013,Tobise,Construction of a system for recognizing touch of strings for guitar
2013,Tokunaga,Enactive mandala: Audio-visualizing brain waves
2013,Torresen,A new wi-fi based platform for wireless sensor data collection
2013,Trento,Flag beat: A novel interface for rhythmic musical expression for kids
2013,Walther,Rocking the keys with a multi-touch interface
2013,Wang,PENny: An extremely low-cost pressure-sensitive stylus for existing capacitive touchscreens
2013,Wiriadjaja,Gamelan sampul: Laptop sleeve gamelan
2013,Wolf,SonNet: A code interface for sonifying computer network data
2013,Xiao,Conjuring the recorded pianist: A new medium to experience musical performance
2013,Yang,Visual associations in augmented keyboard performance
2013,You,Remix dance 3: Improvisatory sound displacing on touch screen-based interface
2013,Zhang,KIB: Simplifying gestural instrument creation using widgets
2014,Amo,A max/msp approach for incorporating digital music via laptops in live performances of music bands
2014,Andersson,Designing sound for recreation and well-being
2014,Arellano,Radear: A tangible spinning music sequencer
2014,Barenca,The manipuller ii: Strings within a force sensing ring
2014,Barraclough,New open-source interfaces for group based participatory performance of live electronic music
2014,Berdahl,How to make embedded acoustic instruments
2014,Bergstrom,OSC-namespace and osc-state: Schemata for describing the namespace and state of osc-enabled systems
2014,Berndt,TouchNoise: A particle-based multitouch noise modulation interface
2014,Berthaut,Wubbles: A collaborative ephemeral musical instrument
2014,Bowers,Hybrid resonant assemblages: Rethinking instruments, touch and performance in new interfaces for musical expression
2014,Bowers,Reappropriating museum collections: Performing geology specimens and meterology data as new instruments for musical expression
2014,Bown,Examining the perception of liveness and activity in laptop music: Listeners’ inference about what the performer is doing from the audio alone
2014,Bretan,Chronicles of a robotic musical companion
2014,Bukvic,Pd-l2ork raspberry pi toolkit as a comprehensive arduino alternative in k-12 and production scenarios
2014,Canning,Interactive parallax scrolling score interface for composed networked improvisation
2014,Cartwright,SynthAssist: Querying an audio synthesizer by vocal imitation
2014,Collecchia,The siren organ
2014,Collins,Algorave: A survey of the history, aesthetics and technology of live performance of algorithmic electronic dance music
2014,Comajuncosas,Conducting collective instruments : A case study
2014,Dahl,Triggering sounds from discrete air gestures: What movement feature has the best timing?
2014,Dahlstedt,Circle squared and circle keys performing on and with an unstable live algorithm for the disklavier
2014,Dahlstedt,YouHero making an expressive concert instrument from the guitarhero controller
2014,Davies,Improvasher: A real-time mashup system for live musical input
2014,Deng,WIJAM: A mobile collaborative improvisation platform under master-players paradigm
2014,Diao,Sketch-based musical composition and performance
2014,Dominguez,16-CdS: A surface controller for the simultaneous manipulation of multiple analog components
2014,Donovan,The talking guitar: Headstock tracking and mapping strategies
2014,Dublon,FingerSynth: Wearable transducers for exploring the environment and playing music everywhere
2014,Eaton,The space between us. A live performance with musical score generated via emotional levels measured in EEG of one performer and an audience member
2014,Faubel,Rhythm apparatus on overhead
2014,Favilla,Touch screen collaborative music: Designing nime for older people with dementia
2014,Feugère,Rule-based performative synthesis of sung syllables
2014,Françoise,Probabilistic models for designing motion and sound relationships
2014,Fried,AudioQuilt: 2D arrangements of audio samples using metric learning and kernelized sorting
2014,Fyfe,Extending the nexus data exchange format (ndef) specification
2014,Gnegy,CollideFx: A physics-based audio effects processor
2014,Goßmann,Musical interface to audiovisual corpora of arbitrary instruments
2014,Graham,Gesture and embodied metaphor in spatial music performance systems design.
2014,Green,NIME, musicality and practice-led methods
2014,Gupfinger,SOUND tossing audio devices in the context of street art
2014,Gurevich,Distributed control in a mechatronic musical instrument
2014,Hadjakos,SPINE: A tui toolkit and physical computing hybrid
2014,Han,Lessons learned in exploring the leap motion(TM) sensor for gesture-based instrument design
2014,Harriman,Endo/exo making art and music with distributed computing
2014,Hashimoto,Operating sound parameters using Markov model and Bayesian filters in automated music performance
2014,Hattwick,Unsounding objects: Audio feature extraction for the control of sound synthesis
2014,Hattwick,Forming shapes to bodies: Design for manufacturing in the prosthetic instruments
2014,Hazzard,You’ll never walk alone: Composing location-based soundtracks
2014,Heller,Visualizing song structure on timecode vinyls
2014,Hindle,CloudOrch: A portable soundcard in the cloud
2014,Holbrow,Vocal vibrations: A multisensory experience of the voice
2014,Honigman,Techniques in swept frequency capacitive sensing: An open source approach
2014,Hornof,The prospects for eye-controlled musical performance
2014,Hors,The well-sequenced synthesizer
2014,Hout,Experio: A design for novel audience participation in club settings
2014,Hutchins,Soundbeam: A platform for sonyfing web tracking
2014,Ilsar,Evaluating the performance of a new gestural instrument within an ensemble
2014,Izmirli,Imitation framework for percussion
2014,Jensenius,To gesture or not? An analysis of terminology in NIME proceedings 2001–2013
2014,Jeon,TAPIR sound tag: An enhanced sonic communication framework for audience participatory performance
2014,Johnson,The development of physical spatial controllers
2014,Johnston,Polus: The design and development of a new, mechanically bowed string instrument ensemble
2014,Jordà,A methodological framework for teaching, evaluating and informing nime design with a focus on mapping and expressiveness
2014,Keatch,An exploration of peg solitaire as a compositional tool
2014,Kiefer,Musical instrument mapping design with echo state networks
2014,Kim,Ping-pong: Musically discovering locations
2014,Klügel,Designing sound collaboratively perceptually motivated audio synthesis
2014,Klügel,TreeQuencer: Collaborative rhythm sequencing a comparative study
2014,Klooster,In a state: Live emotion detection and visualisation for music performance
2014,Knotts,The politics of laptop ensembles: A survey of 160 laptop ensembles and their organisational structures
2014,Krzyzaniak,Separation: Short range repulsion. Implementation of an automated aesthetic synchronization system for a dance performance.
2014,Lähdeoja,Structure-borne sound and aurally active spaces
2014,Larsen,The actuated guitar: Implementation and user test on children with hemiplegia
2014,Lee,Communication, control, and state sharing in collaborative live coding
2014,Lee,Distributing mobile music applications for audience participation using mobile ad-hoc network (MANET)
2014,Lim,Smartphone-based music conducting
2014,Long,The robotic taishogoto: A new plug ’n play desktop performance instrument
2014,Lui,A real time common chord progression guide on the smartphone for jamming pop song on the music keyboard
2014,Magnusson,Improvising with the threnoscope: Integrating code, hardware, gui, network, and graphic scores
2014,Mainsbridge,Body as instrument: Performing with gestural interfaces
2014,Mamedes,Composing for dmis entoa, a dedicate piece for intonaspacio
2014,Marier,Designing mappings for the sponge: Towards spongistic music
2014,Mathew,A morphological analysis of audio-objects and their control methods for 3D audio
2014,Mathews,Tangle: A flexible framework for performance with advanced robotic musical instruments
2014,Mays,A notation system for the karlax controller
2014,Mazzanti,Augmented stage for participatory performances
2014,McKinney,Quick live coding collaboration in the web browser
2014,Mitchell,Making the most of wi-fi: Optimisations for robust wireless live music performance
2014,Morgan,Instrumenting the interaction: Affective and psychophysiological features of live collaborative musical improvisation
2014,Morreale,Musical interface design: An experience-oriented framework
2014,Mudd,Dynamical interactions with electronic instruments
2014,Murphy,Robot: Tune yourself! Automatic tuning for musical robotics
2014,Murray-Browne,The cave of sounds: An interactive installation exploring how we create music together
2014,Murray-Browne,Harmonic motion: A toolkit for processing gestural data for interactive sound
2014,Nakanishi,B.O.M.B. -beat of magic box -: Stand-alone synthesizer using wireless synchronization system for musical session and performance
2014,Nash,Manhattan: End-user programming for music
2014,Navab,A material computation perspective on audio mosaicing and gestural conditioning
2014,Nymoen,Funky sole music: Gait recognition and adaptive mapping
2014,Overholt,Design & evaluation of an accessible hybrid violin platform
2014,Pardue,Low-latency audio pitch tracking: A multi-modal sensor-assisted approach
2014,Perrotin,Visualizing gestures in the control of a digital musical instrument
2014,Place,AlphaSphere from prototype to product
2014,Poepel,Design and evaluation of a gesture controlled singing voice installation
2014,Polashek,Engravings for prepared snare drum, iPad, and computer
2014,Portner,CHIMAERA the poly-magneto-phonic theremin an expressive touch-less hall-effect sensor array
2014,Ratcliffe,Hand and finger motion-controlled audio mixing interface
2014,Rector,Internally actuated drums for expressive performance
2014,Renaud,3DinMotion a mocap based interface for real time visualisation and sonification of multi-user interactions
2014,Resch,A simple architecture for server-based (indoor) audio walks
2014,Roberts,Rapid creation and publication of digital musical instruments
2014,Robertson,Conductive music: Teaching innovative interface design and composition techniques with open-source hardware
2014,Roy,TrAP: An interactive system to generate valid raga phrases from sound-tracings
2014,Sa,Repurposing video game software for musical expression: A perceptual approach
2014,Salazar,Auraglyph: Handwritten computer music composition and design
2014,Sarasúa,Dynamics in music conducting: A computational comparative study among subjects
2014,Sarier,Rub synth : A study of implementing intentional physical difficulty into touch screen music controllers
2014,Schlienger,Acoustic localisation as an alternative to positioning principles in applications presented at nime 2001-2013
2014,Schwarz,Rich contacts: Corpus-based convolution of contact interaction sound for enhanced musical expression
2014,Serafin,Controlling physically based virtual musical instruments using the gloves
2014,Snyder,The birl: An electronic wind instrument based on an artificial neural network parameter mapping structure
2014,Snyder,Mobile device percussion parade
2014,Sokolovskis,Optical measurement of acoustic drum strike locations
2014,Stark,Sound analyser: A plug-in for real-time audio analysis in live performances and installations
2014,Strylowski,Pitch canvas: Touchscreen based mobile music instrument
2014,Suh,A gesture detection with guitar pickup and earphones
2014,Taylor,Simplified expressive mobile development with nexusui, nexusup, and nexusdrop
2014,Tomás,Tangible scores: Shaping the inherent instrument score
2014,Tormoen,The composing hand: Musical creation with leap motion and the bigbang rubette
2014,Torren,Striso, a compact expressive instrument based on a new isomorphic note layout
2014,Trail,El-lamellophone a low-cost, diy, open framework for acoustic lemellophone based hyperinstruments
2014,Troyer,Composing embodied sonic play experiences: Towards acoustic feedback ecology
2014,Trump,Orphion: A gestural multi-touch instrument for the iPad
2014,Tsiros,Evaluating the perceived similarity between audio-visual features using corpus-based concatenative synthesis
2014,Tubb,The divergent interface: Supporting creative exploration of parameter spaces
2014,Tveit,Reunion2012: A novel interface for sound producing actions through the game of chess
2014,Udell,EMersion \| sensor-controlled electronic music modules & digital data workstation
2014,Visi,Use of body motion to enhance traditional musical instruments
2014,Wakefield,Collaborative live-coding with an immersive instrument
2014,Ward,Constraining movement as a basis for dmi design and performance.
2014,Webster,The owl programmable stage effects pedal: Revising the concept of the on-stage computer for live music performance
2014,Wikström,Musical composition by regressional mapping of physiological responses to acoustic features
2014,Williams,Timbre morphing: Near real-time hybrid synthesis in a musical installation
2014,Xambo,SoundXY4: Supporting tabletop collaboration and awareness with ambisonics spatialisation
2014,Xiao,Andante: Walking figures on the piano keyboard to visualize musical motion
2014,Yerkes,Twkyr: A multitouch waveform looper
2014,Zandt-Escobar,PiaF: A tool for augmented piano performance using gesture variation following
2014,Zappi,Dimensionality and appropriation in digital musical instrument design
2014,Zareei,Rasper: A mechatronic noise-intoner
2015,Jörgensen,A mobile music museum experience for children
2015,d’Alessandro,AirPiano: A multi-touch keyboard with hovering control
2015,Akbari,ClaVision: Visual automatic piano music transcription
2015,Alexander-Adams,A flexible platform for tangible graphic scores
2015,Anderson,Major thirds: A better way to tune your iPad
2015,Barbosa,Designing dmis for popular music in the Brazilian northeast: Lessons learned
2015,Barbosa,What does ’evaluation’ mean for the nime community?
2015,Barraclough,Musical instrument design process for mobile technology
2015,Barrett,Creating tangible spatial-musical images from physical performance gestures
2015,Benford,Augmenting a guitar with its digital footprint
2015,Benjamin,MusicMapper: Interactive 2D representations of music samples for in-browser remixing and exploration
2015,Bennett,Resonant bits: Controlling digital musical instruments with resonance and the ideomotor effect
2015,Berdahl,The haptic hand
2015,Bergsland,Composing interactive dance pieces for the motioncomposer, a device for persons with disabilities
2015,Berthaut,Liveness through the lens of agency and causality
2015,Berthaut,Reflets: Combining and revealing spaces for musical performances
2015,Bhandari,Music-based respiratory biofeedback in visually-demanding tasks
2015,Blessing,Textural crossfader
2015,Bortz,Emotion in motion: A reimagined framework for biomusical/emotional interaction
2015,Brown,Rawr! A study in sonic skulls: Embodied natural history
2015,Bullock,Ml.lib: Robust, cross-platform, open-source machine learning for max and pure data
2015,Cabrera,Serverless and peer-to-peer distributed interfaces for musical control
2015,Cazzani,Posture identification of musicians using non-intrusive low-cost resistive pressure sensors
2015,Correia,Prototyping audiovisual performance tools: A hackathon approach
2015,Dahlstedt,Mapping strategies and sound engine design for an augmented hybrid piano
2015,Dahlstedt,The bucket system - a computer mediated signalling system for group improvisation
2015,Dannenberg,Arrangements: Flexibly adapting music data for live performance
2015,Carvalho Junior,Indoor localization during installations using WiFi
2015,Duindam,Tingle: A digital music controller re-capturing the acoustic instrument experience
2015,Enström,Musical notation for multi-touch interfaces
2015,Feldt,Puff, puff, play: A sip-and-puff remote control for music playback
2015,Wilmers,Doppelgänger: A solenoid-based large scale sound installation.
2015,Franco,Pratical evaluation of synthesis performance on the beaglebone black
2015,Gelineck,Stage- vs. Channel-strip metaphor - comparing performance when adjusting volume and panning of a single channel in a stereo mix
2015,Graham,Managing musical complexity with embodied metaphors
2015,Graham,SEPTAR: Audio breakout design for multichannel guitar
2015,Gregorio,Descriptors for perception of quality in jazz piano improvisation
2015,Harriman,Pd poems and teaching tools
2015,Harriman,Feedback lapsteel : Exploring tactile transducers as string actuators
2015,Harriman,Start ’em young: Digital music instrument for education
2015,Hattwick,Interactive lighting in the pearl: Considerations and implementation
2015,Hayes,Enacting musical worlds: Common approaches to using nimes within both performance and person-centred arts practices
2015,Hayward,The hayward tuning vine: An interface for just intonation
2015,Hazzard,Considering musical structure in location-based experiences
2015,He,Developing a physical gesture acquisition system for guqin performance
2015,Hindle,Orchestrating your cloud orchestra
2015,Hirabayashi,Sense of space: The audience participation music performance with high-frequency sound id
2015,Izmirli,Framework for exploration of performance space
2015,Jaimovich,Creating biosignal algorithms for musical applications from an extensive physiological database
2015,Jense,WamBam: A case study in design for an electronic musical instrument for severely intellectually disabled users
2015,Jensenius,Microinteraction in music/dance performance
2015,Jin,MalLo: A distributed synchronized musical instrument designed for internet performance
2015,Kestelli,Motor imagery: What does it offer for new digital musical instruments?
2015,Kleinberger,PHOX ears: A parabolic, head-mounted, orientable, eXtrasensory listening device
2015,Knichel,Resonate – a social musical installation which integrates tangible multiuser interaction
2015,Korda,ChordEase: A midi remapper for intuitive performance of non-modal music
2015,Krzyzaniak,Realtime classification of hand-drum strokes
2015,Lee,Web-based temporal typography for musical expression and performance
2015,Leonard,Physical modelling concepts for a collection of multisensory virtual musical instruments
2015,Lin,Harmonic intonation trainer: An open implementation in pure data
2015,Long,A methodology for evaluating robotic striking mechanisms for musical contexts
2015,Lui,Generate expressive music from picture with a handmade multi-touch music table
2015,Marley,Gestroviser: Toward collaborative agency in digital musical instruments.
2015,Marquez-Borbon,But does it float? Reflections on a sound art ecological intervention
2015,Marquez-Borbon,Fourteen years of nime: The value and meaning of ‘community’ in interactive music research
2015,Martin,Tracking ensemble performance on touch-screens with gesture classification and transition matrices
2015,McCloskey,Accessibility and dimensionalty: Enhanced real-time creative independence for digital musicians with quadriplegic cerebral palsy
2015,McPherson,Exposing the scaffolding of digital instruments with hardware-software feedback loops
2015,Menzies,Highland piping ornament recognition using dynamic time warping
2015,Mercer-Taylor,Sonification of fish movement using pitch mesh pairs
2015,Michon,MobileFaust: A set of tools to make musical mobile applications with the faust programming language
2015,Momeni,Caress: An electro-acoustic percussive instrument for caressing sounds
2015,Myllykoski,Prototyping hand-based wearable music education technology
2015,Nath,VESBALL: A ball-shaped instrument for music therapy
2015,Novello,A prototype for pitched gestural sonification of surfaces using two contact microphones
2015,Nymoen,MuMYO - evaluating and exploring the myo armband for musical interaction
2015,Papetti,Multi-point vibrotactile feedback for an expressive musical interface
2015,Piepenbrink,The bistable resonator cymbal: An actuated acoustic instrument displaying physical audio effects
2015,Pon,Womba: A musical instrument for an unborn child
2015,Ramsay,GroupLoop: A collaborative, network-enabled audio feedback instrument
2015,Resch,RWA – a game engine for real world audio games
2015,Ringwalt,Optical music recognition for interactive score display
2015,Roberts,Beyond editing: Extended interaction with textual code fragments
2015,Rogers,MARIE: Monochord-aerophone robotic instrument ensemble
2015,Rooyen,Snare drum motion capture dataset
2015,Rosli,Ensemble feedback instruments
2015,Schacher,Gestural electronic music using machine learning as generative device
2015,Shaw,Fields: An exploration into the use of mobile devices as a medium for sound diffusion
2015,Sheffield,Distributed mechanical actuation of percussion instruments
2015,Sheffield,The pneumatic practice pad
2015,Snyder,Machine yearning: An industrial robotic arm as a performance instrument
2015,Tahiroglu,Musical engagement that is predicated on intentional activity of the performer with noisa instruments
2015,Tome,MMODM: Massively multipler online drum machine
2015,Van Rooyen,Pragmatic drum motion capture system
2015,Verdonk,Visible excitation methods: Energy and expressiveness in electronic music performance
2015,Villeneuve,Visual representation in genesis as a tool for physical modeling, sound synthesis and musical composition
2015,Waite,Reimagining the computer keyboard as a musical interface
2015,Waloschek,Sensors on stage: Conquering the requirements of artistic experiments and live performances
2015,Wu,Tibetan singing prayer wheel: A hybrid musical- spiritual instrument using gestural control
2015,Xia,Duet interaction: Learning musicianship for automatic accompaniment
2015,Yamamoto,LiVo: Sing a song with a vowel keyboard
2015,Yang,Representation-plurality in multi-touch mobile visual programming for music
2015,Yuksel,BRAAHMS: A novel adaptive musical interface based on users’ cognitive state
2016,Arango,The smartphone ensemble. Exploring mobile computer mediation in collaborative musical performance
2016,Balandra,Haptic music player—synthetic audio-tactile stimuli generation based on the notes’ pitch and instruments’ envelope mapping
2016,Baldwin,Tromba moderna: A digitally augmented medieval instrument
2016,Banas,Design and evaluation of a gesture driven wave field synthesis auditory game
2016,Barrett,The ‘virtualmonium’: An instrument for classical sound diffusion over a virtual loudspeaker orchestra
2016,Baytas,The perception of live-sequenced electronic music via hearing and sight
2016,Becking,Drum-dance-music-machine: Construction of a technical toolset for low-threshold access to collaborative musical performance
2016,Benson,SoundMorpheus: A myoelectric-sensor based interface for sound spatialization and shaping
2016,Berdahl,Wireless vibrotactile tokens for audio-haptic interaction with touchscreen interfaces
2016,Berdahl,Very slack strings: A physical model and its use in the composition quartet for strings
2016,Berg,Tango: Software for computer-human improvisation
2016,Bhumber,Pendula: An interactive swing installation and performance environment
2016,Bin,Skip the pre-concert demo: How technical familiarity and musical style affect audience response
2016,Bowers,One knob to rule them all: Reductionist interfaces for expansionist research
2016,Bown,A musical game of bowls using the diads
2016,Brown,Leimu: Gloveless music interaction using a wrist mounted leap motion
2016,Cakmak,Networked virtual environments as collaborative music spaces
2016,Carey,SpectraScore vr: Networkable virtual reality software tools for real-time composition and performance
2016,Carey,Reflection on action in nime research: Two complementary perspectives
